,Time,User,Tweet
0,2022-08-30 16:08:38+00:00,NotCapone,Horizons ult needs a drag nerf holy shit #ApexLegends
1,2022-08-30 16:02:51+00:00,egcnetwork,RT @Gatortots8: another good day some more apex later @HydraGamingNA @Gamer_Sleeve #ApexLegends
2,2022-08-30 16:02:29+00:00,EGCReplays,RT @Gatortots8: another good day some more apex later @HydraGamingNA @Gamer_Sleeve #ApexLegends
3,2022-08-30 16:02:14+00:00,EGCEMPIRE,RT @Gatortots8: another good day some more apex later @HydraGamingNA @Gamer_Sleeve #ApexLegends
4,2022-08-30 16:01:19+00:00,CaptInterceptor,"Have to love toxic #ApexLegends team mates who go off to loot a body at closing of round 4, die and then swear at m… https://t.co/UzlnyLCCra"
5,2022-08-30 16:01:17+00:00,Gatortots8,another good day some more apex later @HydraGamingNA @Gamer_Sleeve #ApexLegends
6,2022-08-30 16:00:05+00:00,bohocowboyalt,"looking for moots! spare a follow if you like the following! 

• apex legends
• minecraft 
• hermitcraft
• critical… https://t.co/hMOlrBAjap"
7,2022-08-30 16:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 25,960 RP / 8,328 AP
PlayStation: 20,845 RP / 9,084… https://t.co/Vc5Ofxv1bd"
8,2022-08-30 15:56:37+00:00,daily_noobs,If you take your teammates loot you’re a #loser/#nolife/#lootgoblin like fuck you taking my loot I never ever take… https://t.co/IZQSGeeTsI
9,2022-08-30 15:54:29+00:00,BLOODXFPS,"I see that Wraith has dropped off tremendously, hardly used in comp.. but I will never agree with that. A great wra… https://t.co/utmeaqojnu"
10,2022-08-30 15:53:45+00:00,MapRotationBot,"Current:
World's Edge at 00:30-02:00

Next:
Kings Canyon at 02:00-03:00

#ApexLegends #マップローテーション"
11,2022-08-30 15:45:52+00:00,AuroraXaedy,Who would want to pick up an Apex roster to there team????? #Apex #ApexLegends
12,2022-08-30 15:45:41+00:00,ApexTop10,"#ApexLegends TOP10
🥇 (66,774) ChaoticMuch
🥈 (64,972) Effect
🥉 (61,381) E6_Slayers
4⃣ (56,080) HRZN Liphnn
5⃣ (53,18… https://t.co/zHvc29uWQX"
13,2022-08-30 15:15:35+00:00,daily_noobs,What ever yous #noobie ass wraiths thinking your good running away from your team then pining enemy’s been here and… https://t.co/hqRtUr3GW0
14,2022-08-30 15:12:27+00:00,ApexTOP10_JPN,"#ApexLegends TOP10 in JPN
🥇 (51,773) tttcheekyttt_SBI
🥈 (46,844) Nth_ReyzyGG
🥉 (45,498) Curiharaa
4⃣ (45,454) Nth_s… https://t.co/BphRyrGN1d"
15,2022-08-30 15:10:29+00:00,Felecia18755633,"RT @kim35455865: #fuckproplayers
#ApexLegends 
#gaming 
The community shouldnt be effected bc pros dont like sometimes"
16,2022-08-30 15:09:33+00:00,ApexTOP10_PS,"#ApexLegends TOP10 on PS
🥇 (52,096) Toffu_
🥈 (48,835) rKhyzo
🥉 (48,096) Elonzy
4⃣ (42,697) Draxzs_-_
5⃣ (42,554) Tw… https://t.co/CVXrvzVw9E"
17,2022-08-30 15:06:24+00:00,Syuta_beacons,"Who’s wanna explore sumeru with us? Feel free to join and help  

SyutaBeacons/ 700748375
Miitsunex/ 704670212… https://t.co/5XBjoNf3AQ"
18,2022-08-30 15:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 25,960 RP / 8,328 AP
PlayStation: 20,845 RP / 9,084… https://t.co/ZeOMl6hmDo"
19,2022-08-30 14:50:13+00:00,theundeadwonder,"RT @Kyokilla: Also - who doesn't wanna hear the sound of someone yelling ""Prepare for Titanfall"" over the coms again?

#F2PTitanfall could…"
20,2022-08-30 14:50:02+00:00,FadeToOne,"RT @Kyokilla: Also - who doesn't wanna hear the sound of someone yelling ""Prepare for Titanfall"" over the coms again?

#F2PTitanfall could…"
21,2022-08-30 14:49:28+00:00,Kyokilla,"Also - who doesn't wanna hear the sound of someone yelling ""Prepare for Titanfall"" over the coms again?… https://t.co/Dx3nTJ59CT"
